	City	Cloudiness	Country	Date	Humidity	Lat	Lng	Max Temp	Wind Speed
61	Yulara	0	AU	1552964400	16	130.99	-25.24	37.0	5.7
62	Awbari	88	LY	1552967514	40	12.77	26.59	20.76	4.87
63	Albany	90	US	1552967418	92	-73.75	42.65	0.56	3.1
64	Constitucion	20	MX	1552966815	38	-104.67	23.99	15.0	3.1
65	Beringovskiy	8	RU	1552967539	100	179.32	63.05	-18.44	4.57
66	Hasaki	75	JP	1552967375	39	140.83	35.73	17.78	5.7
67	Visnes	0	NO	1552967403	86	5.22	59.36	1.11	2.1
68	Ponta Delgada	40	PT	1552967314	81	-25.67	37.73	12.78	4.1
69	Araouane	20	ML	1552967540	14	-3.53	18.9	17.46	3.57
70	Puerto Suarez	44	BO	1552967540	91	-57.8	-18.96	24.81	1.02
71	Hilo	24	US	1552967495	56	-155.08	19.71	23.0	5.1
72	Kula	0	RS	1552964400	70	19.53	45.61	6.0	4.6
73	Kirakira	32	SB	1552967514	100	161.92	-10.46	28.41	4.42
74	Aykhal	20	RU	1552967542	77	111.51	65.95	-17.19	1.77
75	Inhambane	76	MZ	1552967325	100	35.38	-23.87	24.71	3.02
76	Butaritari	92	KI	1552967543	100	172.79	3.07	28.46	7.27
77	Kavieng	48	PG	1552967543	95	150.8	-2.57	30.21	4.57
78	Moron	88	VE	1552967543	94	-68.2	10.49	20.36	1.22
79	Kruisfontein	80	ZA	1552967544	95	24.73	-34.0	19.76	1.82
80	Saint-Francois	90	FR	1552967158	93	3.91	46.42	4.0	2.1
81	Lanzhou	0	CN	1552964400	34	103.82	36.06	11.0	1.0
82	Cherskiy	32	RU	1552967302	68	161.3	68.75	-23.09	3.67
83	Begusarai	0	IN	1552967545	65	86.13	25.41	23.26	1.92
84	Busselton	0	AU	1552967412	22	115.35	-33.64	35.0	2.97
85	Sahuaripa	20	MX	1552967546	65	-109.23	29.05	14.81	0.72
86	Aljezur	0	PT	1552967530	50	-8.8	37.31	13.33	2.24
87	Mataura	0	NZ	1552967406	75	168.86	-46.19	19.44	2.24
88	Mezen	92	RU	1552967547	89	44.24	65.85	0.81	4.22
89	Hailar	76	CN	1552967547	45	119.7	49.2	3.66	7.52
90	Chokurdakh	36	RU	1552967460	74	147.9	70.62	-23.94	2.72
91	Arraial do Cabo	0	BR	1552964400	94	-42.02	-22.97	24.0	1.5
92	Tuktoyaktuk	90	CA	1552964400	92	-133.03	69.44	-5.0	11.3
93	Blagoyevo	80	RU	1552967548	82	47.92	63.37	1.16	4.42
94	Hithadhoo	88	MV	1552967548	100	73.08	-0.6	29.11	2.12
95	Cabo San Lucas	5	MX	1552967214	63	-109.91	22.89	20.56	2.1
96	Barrow	12	AR	1552967549	77	-60.23	-38.31	10.91	2.87
97	Padang	20	ID	1552964400	74	100.36	-0.92	30.0	2.1
98	Airai	44	TL	1552967457	63	125.41	-8.93	27.31	0.97
99	Santa Maria	20	BR	1552964400	100	-53.81	-29.69	20.0	1.0
100	Verkh-Chebula	88	RU	1552967551	75	87.61	56.03	-6.29	3.87
101	Saryg-Sep	20	RU	1552967552	59	95.55	51.49	-7.79	1.32
102	Katsuura	90	JP	1552967471	93	134.5	33.93	10.0	6.2
103	Goderich	80	CA	1552967419	87	-81.71	43.74	0.0	4.27
104	Pochutla	75	MX	1552967230	69	-96.47	15.74	28.0	3.57
105	Ajdabiya	48	LY	1552967553	67	20.22	30.75	10.16	1.22
106	Sumter	1	US	1552967367	34	-80.34	33.92	11.67	5.62
107	Esil	0	KZ	1552967553	81	66.41	51.96	-12.39	3.67
108	Montecorvino Rovella	0	IT	1552967523	81	14.98	40.7	8.89	1.0
109	Avarua	12	CK	1552964400	83	-159.78	-21.21	28.0	1.5
110	Severo-Kurilsk	88	RU	1552967267	95	156.12	50.68	0.16	6.47
111	Portland	1	US	1552967481	33	-122.67	45.52	15.56	8.2
112	Gilgit	88	PK	1552967554	93	74.31	35.92	-4.09	0.42
113	Lakes Entrance	48	AU	1552967549	87	147.99	-37.88	23.33	1.79
114	Mangrol	0	IN	1552964400	46	76.51	25.33	22.0	1.0
115	Faya	5	SA	1552964400	51	42.45	18.39	15.0	4.1
116	Norman Wells	75	CA	1552964400	52	-126.83	65.28	8.0	1.77
117	Namatanai	12	PG	1552967556	91	152.44	-3.66	29.86	4.37
118	Rio Grande	64	BR	1552967491	98	-52.1	-32.03	21.66	5.22
119	Ayan	0	TR	1552967556	67	33.6	40.67	-5.79	0.92
120	Evensk	32	RU	1552967557	100	159.24	61.92	-16.04	5.02
121	Kostomuksha	92	RU	1552967557	97	30.6	64.59	-0.29	1.67
122	Jacmel	0	HT	1552967557	100	-72.54	18.24	25.01	3.97
123	Ayr	75	GB	1552967471	100	-4.63	55.46	8.0	1.5
124	Nanortalik	0	GL	1552967304	100	-45.24	60.14	-4.79	18.67
125	Ponta do Sol	0	BR	1552967558	90	-46.0	-20.63	20.16	1.22
126	Lebu	0	ET	1552967456	81	38.73	8.96	5.51	1.37
127	Zhigansk	0	RU	1552967559	62	123.37	66.77	-21.99	1.77
128	Vestmannaeyjar	80	IS	1552967559	94	-20.27	63.44	5.16	9.37
129	Richards Bay	44	ZA	1552967559	95	32.06	-28.77	22.21	1.42
130	Hobart	75	AU	1552967294	64	147.33	-42.88	22.78	4.6
131	Lagos	20	NG	1552964400	88	3.39	6.46	28.0	1.0
132	Muromtsevo	80	RU	1552967560	91	75.24	56.37	-8.44	3.32
133	Balad	44	ID	1552967560	100	108.42	-6.76	28.56	0.87
134	Dabakala	80	CI	1552967561	89	-4.43	8.36	22.16	2.42
135	Kanniyakumari	8	IN	1552967426	100	77.57	8.08	28.41	5.37
136	Nichinan	20	JP	1552966988	72	131.31	31.65	17.0	7.2
137	Chuy	0	UY	1552967525	94	-53.46	-33.69	19.71	4.92
138	Puerto Ayora	12	EC	1552967164	90	-90.35	-0.74	25.0	2.92
139	Westport	80	IE	1552967293	88	-9.52	53.8	9.44	5.72
140	Nelson Bay	75	AU	1552967446	69	152.14	-32.72	25.56	4.6
141	Kurumkan	8	RU	1552967562	73	110.32	54.33	-9.19	1.17
142	Juegang	8	CN	1552967249	51	121.18	32.31	18.89	4.62
143	Cayenne	40	GF	1552964400	94	-52.33	4.94	24.0	3.12
144	Avera	1	US	1552967533	29	-82.53	33.19	12.0	2.6
145	Dubinino	88	RU	1552967564	71	89.08	55.62	-6.29	4.87
146	Belaya Gora	20	RU	1552967564	89	146.19	68.54	-23.54	2.07
147	Otane	0	NZ	1552965537	67	176.62	-39.89	20.56	0.89
148	Provideniya	75	RU	1552964400	66	-173.23	64.42	-11.0	2.0
149	Jalu	0	LY	1552967565	56	21.55	29.03	11.51	1.22
150	Emerald	8	AU	1552967272	38	148.16	-23.53	34.0	4.1
151	Wenatchee	0	US	1552967254	56	-120.31	47.42	7.0	1.5
152	Tuatapere	24	NZ	1552967406	75	167.69	-46.13	19.44	2.24
153	Bambous Virieux	75	MU	1552967343	83	57.76	-20.34	27.0	4.1
154	Tual	12	ID	1552967456	100	132.75	-5.67	29.11	3.32
155	Saint George	20	GR	1552967005	100	22.34	39.45	11.11	0.42
156	Torbay	90	CA	1552967311	79	-52.73	47.66	-4.44	4.6
157	Kemin	12	KG	1552967567	67	75.7	42.79	-2.59	0.72
158	Hobyo	100	SO	1552967382	86	48.53	5.35	25.76	6.17
159	Kaupanger	0	NO	1552967567	90	7.24	61.18	-13.59	0.67
160	Brigantine	1	US	1552967538	69	-74.36	39.41	4.44	1.37
161	Tettnang	76	DE	1552967522	100	9.59	47.67	1.11	0.5
162	Narsaq	0	GL	1552963800	85	-46.05	60.91	-4.0	7.2
163	Porto Novo	40	BR	1552964400	100	-45.44	-23.68	24.0	1.32
164	Kaeo	32	NZ	1552966685	73	173.78	-35.1	20.56	3.58
165	Khatanga	80	RU	1552967383	87	102.47	71.98	-14.14	4.57
166	Oriximina	8	BR	1552967570	88	-55.87	-1.77	26.06	1.12
167	Vardo	1	US	1552967458	59	-77.74	39.62	4.0	1.97
168	Nikolskoye	90	RU	1552967435	93	30.79	59.7	2.22	3.0
169	Alta Floresta	68	BR	1552967571	97	-56.08	-9.87	22.91	1.22
170	Tucuman	0	PE	1552967571	72	-70.89	-17.17	13.06	1.12
171	Grand-Lahou	0	CI	1552967571	85	-5.0	5.24	26.41	3.12
172	Pavlodar	0	KZ	1552964400	92	76.96	52.28	-7.0	2.0
173	Gornopravdinsk	0	RU	1552967572	89	69.92	60.06	-4.44	2.22
174	Gayny	12	RU	1552967572	88	54.33	60.3	-3.39	3.12
175	Mahebourg	75	MU	1552967343	83	57.7	-20.41	27.0	4.1
176	Deputatskiy	20	RU	1552967573	81	139.9	69.3	-21.24	1.82
177	Eirunepe	20	BR	1552967573	90	-69.87	-6.66	25.66	0.67
178	Kavaratti	0	IN	1552967573	100	72.64	10.57	27.71	3.27
179	Coihaique	0	CL	1552964400	92	-72.07	-45.58	3.0	4.1
180	Vieux-Habitants	0	GP	1552964400	73	-61.77	16.06	23.0	3.1
181	Sosnovo-Ozerskoye	0	RU	1552967574	70	111.54	52.53	-5.44	3.02
182	Port Hedland	8	AU	1552964400	42	118.58	-20.31	37.0	5.1
183	Alofi	75	NU	1552964400	74	-169.92	-19.06	29.0	2.6
184	Isangel	75	VU	1552964400	62	169.27	-19.55	32.0	6.2
185	Lahij	32	YE	1552967575	90	44.88	13.06	16.51	1.22
186	Colac	80	AU	1552967527	95	143.59	-38.34	22.22	1.34
187	Fukagawa	75	JP	1552964400	75	142.05	43.72	5.0	6.2
188	Ugoofaaru	92	MV	1552967312	100	73.0	5.67	28.91	4.47
189	Northam	80	GB	1552967527	100	-4.21	51.04	8.33	2.1
190	Katherine	0	AU	1552964400	49	132.26	-14.47	34.0	3.6
191	Letlhakane	24	BW	1552967577	57	25.59	-21.42	22.21	4.27
192	Kamenka	68	RU	1552965813	77	44.05	53.19	0.0	3.17
193	Kulhudhuffushi	76	MV	1552967312	100	73.07	6.62	28.76	3.42
194	Egvekinot	32	RU	1552967350	59	-179.17	66.32	-22.29	1.87
195	Ahipara	100	NZ	1552967578	73	173.16	-35.17	22.96	2.57
196	Coquimbo	20	CL	1552964400	93	-71.34	-29.95	14.0	1.0
197	La Paz	5	MX	1552963920	32	-110.32	24.15	20.0	2.6
198	San Pedro	0	AR	1552966993	80	-59.66	-33.68	18.89	4.62
199	Passa Quatro	44	BR	1552966419	95	-44.97	-22.39	20.56	0.45
200	Mizdah	88	LY	1552967581	66	12.98	31.45	15.81	5.12
201	Rio Gallegos	20	AR	1552967581	99	-69.22	-51.62	7.11	8.47
202	Longyearbyen	75	NO	1552963800	78	15.63	78.22	-10.0	7.2
203	Sao Joao da Barra	64	BR	1552967582	97	-41.05	-21.64	28.71	7.57
204	San Juan	20	PH	1552967227	49	121.03	14.6	32.22	6.2
205	Rawson	44	AR	1552967583	35	-65.11	-43.3	11.81	4.02
206	Zhmerynka	75	UA	1552967211	87	28.11	49.04	6.0	2.0
207	Sorong	8	ID	1552967584	95	131.25	-0.86	29.06	2.12
208	Verkhnyaya Toyma	92	RU	1552967584	87	45.0	62.24	1.01	5.47
209	Alice Springs	0	AU	1552964400	12	133.88	-23.7	34.0	6.2
210	Luwuk	0	ID	1552967585	65	122.79	-0.95	31.86	0.67
211	Ravar	0	IR	1552967585	62	56.81	31.27	-0.04	0.82
212	Mirnyy	92	RU	1552967585	92	36.46	56.57	3.36	4.77
213	Atambua	56	ID	1552967586	100	124.89	-9.11	26.16	1.67
214	Vila Franca do Campo	40	PT	1552967554	81	-25.43	37.72	12.78	4.1
215	Hervey Bay	40	AU	1552967109	58	152.85	-25.3	31.11	5.1
216	Ambovombe	32	MG	1552967587	100	46.09	-25.18	21.36	1.32
217	Princeton	40	US	1552967257	77	-89.46	41.37	3.33	2.1
218	Gat	0	SN	1552964400	68	-16.54	14.69	21.0	7.7
219	Merauke	92	ID	1552967311	92	140.4	-8.49	27.71	6.62
220	Fowa	0	NG	1552967588	71	6.4	8.92	23.71	1.22
221	Bereda	64	ES	1552967404	93	-7.54	43.27	10.56	1.17
222	Esperance	20	TT	1552967407	88	-61.45	10.24	24.0	2.1
223	Port Elizabeth	1	US	1552967465	80	-74.98	39.31	4.0	2.52
224	Fortuna	0	ES	1552967544	71	-1.13	38.18	10.0	2.6
225	Newberg	1	US	1552967585	43	-122.97	45.3	15.56	5.1
226	Saint-Augustin	90	FR	1552967468	100	-0.61	44.83	6.67	2.1
227	Banda Aceh	36	ID	1552967590	75	95.32	5.56	29.41	1.07
228	Kodiak	40	US	1552967524	10	-94.76	39.95	6.0	2.1
229	Luderitz	12	NA	1552967590	90	15.16	-26.65	14.86	3.67
230	Giresun	0	TR	1552963800	94	38.39	40.91	3.0	2.1
231	Lagoa	0	PT	1552967530	62	-8.45	37.14	13.33	1.0
232	Olga	1	US	1552967406	55	-118.17	34.11	18.0	2.1
233	Komsomolskiy	76	RU	1552967592	89	63.78	67.55	-3.64	5.52
234	Ilebo	20	CD	1552967592	95	20.59	-4.33	24.21	0.97
235	Havoysund	75	NO	1552963800	85	24.66	71.0	-5.0	3.1
236	Rockhampton	75	AU	1552964400	49	150.51	-23.38	32.0	2.6
237	Fort Nelson	75	CA	1552964400	60	-122.69	58.81	6.0	1.5
238	Staryy Merchyk	0	UA	1552964400	85	35.76	49.98	0.0	3.0
239	Bonavista	24	CA	1552967593	100	-53.11	48.65	-4.79	5.32
240	Kysyl-Syr	8	RU	1552967593	64	122.77	63.9	-17.94	1.72
241	Bandarbeyla	92	SO	1552967322	100	50.81	9.49	25.21	4.37
242	Nanfeng	76	CN	1552967594	86	116.52	27.22	19.16	1.52
243	Saint-Pierre	0	FR	1552967524	100	4.24	48.95	1.0	2.6
244	Pisz	76	PL	1552967595	84	21.81	53.63	3.06	6.72
245	Lavrentiya	12	RU	1552967477	100	-170.99	65.58	-14.19	2.17
246	Hualmay	20	PE	1552967596	93	-77.61	-11.1	20.51	1.67
247	Ipixuna	75	BR	1552964400	94	-48.8	-1.76	25.0	1.5
248	Masterton	20	NZ	1552967404	62	175.66	-40.95	23.89	2.24
249	Mount Gambier	40	AU	1552964400	54	140.78	-37.83	26.0	4.6
250	Achinsk	88	RU	1552967597	84	90.5	56.27	-6.39	4.62
251	Srednekolymsk	48	RU	1552967597	62	153.71	67.46	-22.04	1.62
252	Miandrivazo	0	MG	1552967597	93	45.46	-19.53	19.61	1.17
253	Marabba	0	SD	1552967597	30	32.18	12.35	19.21	4.47
254	Aleppo	0	SY	1552967598	88	37.17	36.2	4.86	1.22
255	Antofagasta	20	CL	1552964400	82	-70.4	-23.65	17.0	2.6
256	San Cristobal	75	EC	1552967131	87	-78.55	-0.39	15.0	3.1
257	Tiznit	0	MA	1552967594	87	-9.73	29.7	13.31	1.47
258	Langsa	56	ID	1552967599	53	97.97	4.47	29.11	1.12
259	Kalevala	92	FI	1552967599	96	29.58	64.12	-0.09	1.82
260	Tarko-Sale	48	RU	1552967569	79	77.78	64.92	-5.57	1.32
261	Yellowknife	20	CA	1552967433	69	-114.38	62.45	5.0	3.6
262	San Fernando	0	CL	1552964400	54	-70.99	-34.58	14.0	3.6
263	Izumo	75	JP	1552964400	58	132.75	35.37	14.0	1.5
264	Puerto Maldonado	76	PE	1552967601	90	-69.19	-12.59	25.31	0.92
265	Verkhoyansk	0	RU	1552967601	56	133.39	67.55	-21.24	1.67
266	Carora	12	VE	1552967602	51	-70.08	10.17	23.71	2.82
267	Shahreza	0	IR	1552967602	66	51.87	32.01	-11.29	1.12
268	Inverness	20	GB	1552967405	87	-4.23	57.48	7.0	4.6
269	Luan	0	CH	1552967563	69	6.98	46.36	1.67	0.27
270	Werda	20	DE	1552967595	100	12.3	50.44	1.67	2.6
271	Sabang	88	PH	1552967604	82	123.58	13.72	27.56	5.37
272	Leshukonskoye	92	RU	1552967604	82	45.76	64.9	1.46	4.67
273	La Rioja	44	AR	1552967604	79	-66.86	-29.41	19.46	1.32
274	Zhumadian	0	CN	1552967604	66	114.02	33.01	20.66	5.42
275	Belyy Yar	0	RU	1552964400	67	91.39	53.6	-7.0	1.0
276	Kalmunai	92	LK	1552967605	90	81.82	7.42	26.56	0.87
277	Sinnamary	80	GF	1552967605	98	-52.96	5.38	25.66	4.02
278	Marshfield	1	US	1552967306	63	-70.71	42.09	1.11	2.1
279	Faanui	0	PF	1552967606	100	-151.75	-16.48	28.91	1.57
280	Hofn	92	IS	1552967606	95	-15.21	64.25	6.31	14.07
281	Enshi	100	CN	1552967606	98	109.48	30.29	11.31	1.57
282	Comodoro Rivadavia	0	AR	1552964400	38	-67.48	-45.87	15.0	3.1
283	Iwaki	75	JP	1552966411	30	140.89	37.05	15.0	2.6
284	Juneau	20	US	1552963980	57	-134.42	58.3	11.0	5.1
285	Saint Andrews	0	NZ	1552967400	76	171.19	-44.53	18.33	2.32
286	Aksarka	24	RU	1552967608	68	67.8	66.56	-13.49	1.87
287	Flin Flon	8	CA	1552967541	88	-101.88	54.77	-3.74	1.42
288	Tomatlan	0	MX	1552967609	79	-105.25	19.93	20.46	1.22
289	Aqtobe	90	KZ	1552964400	86	57.21	50.28	-3.0	6.0
290	Arlit	36	NE	1552967609	52	7.39	18.74	21.56	1.72
291	Killorglin	64	IE	1552967610	97	-9.78	52.1	7.41	3.47
292	Antsohihy	64	MG	1552967610	97	47.99	-14.88	22.36	1.37
293	Waipawa	0	NZ	1552965537	67	176.59	-39.94	20.56	0.89
294	Ostrovnoy	92	RU	1552967611	92	39.51	68.05	-1.59	3.67
295	Touros	0	BR	1552964400	94	-35.46	-5.2	27.0	2.1
296	Carroll	0	AU	1552967202	30	150.44	-30.99	28.89	4.6
297	Nizhnevartovsk	20	RU	1552964400	92	76.58	60.93	-6.0	2.0
298	Komagane	75	JP	1552967559	39	137.94	35.73	17.22	6.7
299	Phan Thiet	0	VN	1552967497	78	108.1	10.93	29.31	7.07
300	Boca do Acre	12	BR	1552967612	89	-67.39	-8.76	25.66	0.87
301	Arona	0	IT	1552967584	80	8.56	45.76	6.67	0.5
302	Kieta	12	PG	1552967613	100	155.63	-6.22	27.06	1.97
303	Yantarnyy	75	RU	1552964400	86	19.94	54.87	4.0	7.0
304	Zapolyarnyy	92	RU	1552963800	92	30.82	69.43	-1.0	12.3
305	Tautira	20	PF	1552967593	66	-149.15	-17.73	31.0	4.6
306	Launceston	90	AU	1552967423	53	147.14	-41.43	23.89	3.1
307	Grong	80	NO	1552967402	80	12.32	64.47	0.0	2.12
308	Itarema	24	BR	1552967614	93	-39.92	-2.92	24.46	1.52
309	Tabas	0	IR	1552964400	75	56.92	33.6	8.0	1.0
310	Coahuayana	0	MX	1552967615	65	-100.35	18.62	17.86	0.82
311	Fonte Boa	76	BR	1552967615	91	-66.09	-2.51	24.36	1.22
312	Haines Junction	88	CA	1552967616	95	-137.51	60.75	1.61	1.52
313	Rafai	0	CF	1552967616	69	23.92	4.95	20.21	1.97
314	Valleyview	0	CA	1552967616	66	-117.28	55.07	3.76	2.47
315	Aberdeen	75	US	1552967407	92	-98.49	45.47	-1.11	5.7
316	Laguna	0	MX	1552967617	40	-110.01	27.52	19.56	1.67
317	Ovsyanka	64	RU	1552967617	43	126.91	53.58	-4.59	1.97
318	Sakete	20	BJ	1552964400	79	2.66	6.74	29.0	5.7
319	Yatou	75	CM	1552964400	94	9.81	3.63	24.0	1.0
320	Tateyama	75	JP	1552967391	36	137.31	36.66	19.44	3.1
321	Edmundston	20	CA	1552967583	56	-68.33	47.36	-9.0	2.6
322	Varnamo	0	SE	1552967114	92	14.04	57.19	-0.57	3.1
323	Russell	40	AR	1552964400	56	-68.8	-33.01	22.0	3.1
324	Bilma	0	NE	1552967619	40	12.92	18.69	14.06	1.27
325	Sorland	68	NO	1552967620	100	12.69	67.67	3.56	4.47
326	Arteaga	90	MX	1552967487	100	-100.85	25.45	9.44	1.12
327	Stykkisholmur	92	IS	1552967340	100	-22.73	65.08	2.81	8.82
328	Vostok	0	RU	1552967537	45	135.83	46.45	4.96	1.27
329	Champerico	40	MX	1552963680	68	-93.6	16.38	21.0	9.3
330	Canon City	56	US	1552967621	30	-117.13	39.46	4.71	1.07
331	Luena	64	AO	1552967621	98	19.91	-11.78	16.81	1.17
332	Victoria	75	BN	1552964400	79	115.24	5.28	31.67	1.5
333	Tingi	24	TZ	1552967622	100	35.03	-11.3	24.61	2.12
334	Kayes	0	ML	1552967622	64	-11.44	14.44	20.21	1.22
335	Port Hardy	20	CA	1552964400	71	-127.42	50.7	10.0	1.0
336	Luganville	64	VU	1552967623	99	167.18	-15.51	28.81	2.62
337	Maningrida	0	AU	1552967623	82	134.23	-12.05	32.06	3.32
338	Usinsk	88	RU	1552967623	92	57.56	66.0	-1.54	5.57
339	Tshikapa	8	CD	1552967327	100	20.79	-6.42	22.16	0.97
340	Beloha	20	MG	1552967624	93	45.06	-25.17	20.86	1.22
341	Leningradskiy	64	RU	1552967329	96	178.42	69.38	-17.99	16.42
342	Murgab	75	TM	1552964400	87	61.97	37.5	9.0	3.1
343	Morros	75	BR	1552964400	100	-44.04	-2.87	25.0	2.6
344	Tiarei	20	PF	1552967593	66	-149.33	-17.53	31.0	4.6
345	Geraldton	75	CA	1552964400	74	-86.95	49.72	-2.0	3.6
346	Buribay	92	RU	1552967625	91	58.16	51.96	-5.34	4.52
347	South Lake Tahoe	1	US	1552967374	42	-119.98	38.93	13.33	2.1
348	Ukiah	0	US	1552967605	72	-123.21	39.15	16.11	0.45
349	Amapa	20	HN	1552964400	83	-87.97	15.09	24.0	1.0
350	Harindanga	20	IN	1552964400	74	88.32	22.04	26.0	3.1
351	Adrar	0	DZ	1552964400	18	-0.29	27.87	15.0	3.6
352	Praya	40	ID	1552962600	74	116.27	-8.71	30.0	3.1
353	Sterling	40	US	1552967386	44	-77.4	39.0	5.0	3.6
354	Tromso	40	NO	1552963800	85	18.96	69.65	-4.0	6.2
355	Auki	0	NG	1552967628	27	6.51	12.18	21.81	4.77
356	Fare	0	PF	1552967628	100	-151.02	-16.7	29.21	1.62
357	Omsukchan	48	RU	1552967628	71	155.8	62.53	-24.74	4.67
358	Umm Lajj	36	SA	1552967629	97	37.27	25.02	15.81	3.67
359	Pomoryany	92	UA	1552967629	96	24.93	49.64	4.56	2.12
360	Akcakoca	0	TR	1552967629	65	31.12	41.09	6.56	1.82
361	Ciro Marina	76	IT	1552967629	96	17.13	39.37	14.51	6.27
362	Uarini	64	BR	1552967630	95	-65.16	-2.98	23.26	1.17
363	Yerbogachen	64	RU	1552967630	77	108.01	61.28	-9.09	1.72
364	Souillac	90	FR	1552967468	93	-0.6	45.6	7.0	2.6
365	Rondonopolis	56	BR	1552967631	85	-54.64	-16.46	23.56	1.07
366	Vanavara	48	RU	1552967632	75	102.28	60.35	-7.99	1.72
367	Timbiqui	88	CO	1552967632	99	-77.67	2.77	23.56	0.62
368	Karlshamn	0	SE	1552967600	77	14.86	56.17	1.0	3.1
369	Mildura	88	AU	1552967145	18	142.16	-34.18	33.0	3.6
370	Kaseda	40	JP	1552967595	67	130.32	31.42	15.0	9.3
371	Baryshivka	0	UA	1552967616	77	31.33	50.36	7.0	5.0
